the-house-of-the-devil	Horror,Short
insignificance	Comedy,Drama
hail-mary	Drama
mad-max-beyond-thunderdome	Action,Adventure,Sci-Fi
mishima-a-life-in-four-chapters	Biography,Drama
a-nightmare-on-elm-street-2-freddys-revenge	Horror
pee-wees-big-adventure	Adventure,Comedy,Family
ran	Action,Drama
re-animator	Comedy,Horror,Sci-Fi
vagabond	Drama,Romance
subway	Thriller
to-live-and-die-in-la	Action,Crime,Drama
in-a-glass-cage	Drama,Horror
betty-blue	Drama,Romance
aliens	Action,Adventure,Sci-Fi
big-trouble-in-little-china	Action,Adventure,Comedy
blue-velvet	Drama,Mystery,Thriller
caravaggio	Biography,Drama,History
coffee-and-cigarettes	Comedy,Short
down-by-law	Comedy,Crime,Drama
elysium	Drama,War
from-beyond	Horror,Sci-Fi
the-terrorizers	Crime,Drama
dust-in-the-wind	Drama,Romance
dust-devil	Drama
my-beautiful-laundrette	Comedy,Drama,Romance
dead-mans-letters	Drama,Sci-Fi
platoon	Drama,War
stand-by-me	Adventure,Drama
under-the-cherry-moon	Comedy,Drama,Music
au-revoir-les-enfants	Drama,War
barfly	Comedy,Drama,Romance
control	Drama,Thriller
creepshow-2	Comedy,Fantasy,Horror
dead-man-walking	Action,Sci-Fi
evil-dead-ii	Comedy,Horror
full-metal-jacket	Drama,War
hellraiser	Horror,Thriller
wings-of-desire	Drama,Fantasy,Romance
intervista	Comedy,Drama,Fantasy
jane-b-par-agnes-v	Biography,Fantasy
kung-fu-master	Drama,Romance
the-last-of-england	Drama,Fantasy
law-of-desire	Comedy,Drama,Thriller
matewan	Drama,History
near-dark	Action,Crime,Drama
a-nightmare-on-elm-street-3-dream-warriors	Fantasy,Horror
predator	Action,Adventure,Sci-Fi
raising-arizona	Comedy,Crime
robocop	Action,Crime,Sci-Fi
keep-your-right-up	Comedy,Drama,Fantasy
the-survivalist	Action,Drama,Sci-Fi
white-of-the-eye	Horror,Thriller
war-of-the-worlds	Action,Drama,Horror
beetlejuice	Comedy,Fantasy
the-big-blue	Drama
chocolat	Drama
dead-ringers	Drama,Horror,Thriller
die-hard	Action,Thriller
distant-voices-still-lives	Drama,Music
ghosts-of-the-civil-dead	Crime,Drama
lincoln	Drama,History,War
damnation	Crime,Drama,Romance
the-last-temptation-of-christ	Drama
women-on-the-verge-of-a-nervous-breakdown	Comedy,Drama
a-nightmare-on-elm-street-4-the-dream-master	Horror
cinema-paradiso	Drama
patty-hearst	Biography,Drama
powaqqatsi	Documentary,Music
promised-land	Drama
tales-from-the-gimli-hospital	Comedy,Drama,Fantasy
the-thin-blue-line	Crime,Documentary,Drama
the-unbearable-lightness-of-being	Drama,Romance
war-requiem	Drama,War
who-framed-roger-rabbit	Adventure,Animation,Comedy
as-tears-go-by	Crime,Drama,Romance
black-snow	Action
blaze	Biography,Drama
catch-me-if-you-can	Action,Comedy,Drama
a-tale-of-springtime	Comedy,Drama,Romance
crimes-and-misdemeanors	Comedy,Drama
do-the-right-thing	Comedy,Drama
drugstore-cowboy	Crime,Drama
elephant	Crime,Drama,Short
force-majeure	Drama
happy-together	Comedy,Romance
i-want-to-go-home	Comedy
indiana-jones-and-the-last-crusade	Action,Adventure
melancholia	Crime,Drama,Thriller
milou-en-mai	Comedy,Romance
mystery-train	Comedy,Crime,Drama
a-nightmare-on-elm-street-5-the-dream-child	Fantasy,Horror
roadkill	Adventure,Comedy,Drama
roselyne-and-the-lions	Comedy,Drama,Romance
santa-sangre	Drama,Fantasy,Horror
the-seventh-continent	Drama
to-die-for	Horror,Romance,Thriller
the-voice-of-the-moon	Comedy,Drama
sugar	Comedy,Sci-Fi
sex-lies-and-videotape	Drama
archangel	Comedy,Drama,Romance
back-to-the-future-part-iii	Adventure,Comedy,Sci-Fi
childs-play-2	Horror,Thriller
the-comfort-of-strangers	Drama,Thriller
dances-with-wolves	Adventure,Drama,Western
edward-scissorhands	Drama,Fantasy,Romance
enemy	Action,Adventure,Drama
goodfellas	Biography,Crime,Drama
graffiti-bridge	Drama,Music
hardware	Sci-Fi,Thriller
hidden-agenda	Drama,Thriller
the-hunt-for-red-october	Action,Adventure,Thriller
millers-crossing	Crime,Drama,Thriller
misery	Drama,Thriller
mo-better-blues	Drama,Music,Romance
nikita	Action,Thriller
the-pit-and-the-pendulum	Horror,Romance
the-rainbow-thief	Drama,Fantasy
total-recall	Action,Sci-Fi,Thriller
wild-at-heart	Comedy,Crime,Drama
tie-me-up-tie-me-down	Comedy,Crime,Drama
days-of-being-wild	Crime,Drama,Romance
les-amants-du-pont-neuf-the-lovers-on-the-bridge	Drama,Romance
barton-fink	Comedy,Drama,Thriller
raise-the-red-lantern	Drama,History,Romance
delicatessen	Comedy,Crime
the-double-life-of-veronique	Drama,Fantasy,Music
the-fisher-king	Comedy,Drama,Fantasy
freddys-dead-the-final-nightmare	Fantasy,Horror
rhapsody-in-august	Drama
highway-61	Comedy,Music
the-indian-runner	Drama
jfk	Drama,History,Thriller
jacquot-de-nantes	Biography,Drama
kafka	Drama,Mystery,Sci-Fi
light-sleeper	Crime,Drama
my-own-private-idaho	Drama
naked-lunch	Drama
night-on-earth	Comedy,Drama
the-rapture	Drama,Mystery
samsara	Short
the-silence-of-the-lambs	Crime,Drama,Thriller
slacker	Comedy,Drama
annihilation	Documentary,Short
baraka	Documentary
basic-instinct	Drama,Mystery,Thriller
batman-returns	Action,Crime,Fantasy
bennys-video	Crime,Drama
bram-stokers-dracula	Horror
candyman	Horror,Thriller
careful	Comedy,Drama,Romance
chaplin	Biography,Comedy,Drama
childs-play-3	Horror,Thriller
cronos	Horror
the-crying-game	Crime,Drama,Romance
dark-horse	Drama,Family
gladiator	Action,Drama,Sport
the-long-day-closes	Biography,Drama
reservoir-dogs	Crime,Drama,Thriller
twin-peaks-fire-walk-with-me	Drama,Horror,Mystery
unforgiven	Drama,Western
invincible	Action,Thriller
fallen-angels	Crime,Drama,Mystery
the-man-who-cried	Drama
carlitos-way	Crime,Drama,Thriller
groundhog-day	Comedy,Fantasy,Romance
hocus-pocus	Comedy,Family,Fantasy
helas-pour-moi	Comedy,Drama,Fantasy
inland-empire	Action,Comedy,Crime
jurassic-park	Action,Adventure,Sci-Fi
kika	Comedy
king-of-the-hill	Drama,History
naked	Comedy,Drama
noah	Animation,Short
orlando	Biography,Drama,Fantasy
the-piano	Drama,Music,Romance
safe	Drama
schindlers-list	Biography,Drama,History
short-cuts	Comedy,Drama
true-romance	Crime,Drama,Romance
wittgenstein	Biography,Comedy,Drama
side-effects	Drama
71-fragments-of-a-chronology-of-chance	Drama
bottle-rocket	Comedy,Crime,Drama
chloe	Drama,Romance
chungking-express	Comedy,Crime,Drama
double-happiness	Drama,Romance
ed-wood	Biography,Comedy,Drama
exotica	Drama
glitterbug	Documentary
hail-caesar	Comedy
heavenly-creatures	Biography,Crime,Drama
the-hudsucker-proxy	Comedy,Drama,Fantasy
insomnia	Comedy
i-cant-sleep	Drama,Mystery,Romance
leon-the-professional	Action,Crime,Drama
natural-born-killers	Crime,Drama
oblivion	Adventure,Comedy,Sci-Fi
pulp-fiction	Crime,Drama
river-of-grass	Drama
the-secret-of-roan-inish	Drama,Family,Fantasy
shallow-grave	Crime,Thriller
the-shawshank-redemption	Drama
sicario	Drama
satantango	Drama
la-vie-en-rose	Drama,Short
batman-forever	Action,Adventure,Fantasy
the-beach	Short
before-sunrise	Drama,Romance
butterfly-kiss	Comedy,Drama,Romance
one-hundred-and-one-nights	Comedy,History,Romance
the-city-of-lost-children	Fantasy,Sci-Fi
clockers	Crime,Drama,Mystery
the-crossing-guard	Drama,Thriller
dead-man	Drama,Fantasy,Western
the-flower-of-my-secret	Drama
la-haine	Crime,Drama
in-the-mouth-of-madness	Drama,Horror,Mystery
leaving-las-vegas	Drama,Romance
mommy	Horror,Mystery,Thriller
the-neon-bible	Drama
se7en	Crime,Drama,Mystery
showgirls	Drama
twelve-monkeys	Mystery,Sci-Fi,Thriller
the-underneath	Crime,Thriller
the-usual-suspects	Crime,Mystery,Thriller
under-the-skin	Crime,Drama,Romance
bernie	Comedy
breaking-the-waves	Drama
for-ever-mozart	Comedy,Drama,War
grays-anatomy	Comedy,Drama
hugo	Short
irma-vep	Comedy,Drama
jude	Drama,Romance
lost-highway	Mystery,Thriller
mars-attacks	Comedy,Sci-Fi
michael-collins	Biography,Drama,Thriller
nenette-et-boni	Drama
schizopolis	Comedy,Fantasy,Mystery
trainspotting	Drama
lawless	Drama
alien-resurrection	Action,Horror,Sci-Fi
apt-pupil	Crime,Drama,Thriller
batman-robin	Action,Sci-Fi
in-the-mood-for-love	Drama,Romance
the-big-lebowski	Comedy,Crime,Sport
boogie-nights	Drama
buffalo-66	Comedy,Crime,Drama
live-flesh	Drama
the-fifth-element	Action,Adventure,Sci-Fi
funny-games	Crime,Drama,Thriller
gattaca	Drama,Sci-Fi,Thriller
good-will-hunting	Drama,Romance
gummo	Comedy,Drama
hard-eight	Crime,Drama
the-ice-storm	Drama
the-informant	Drama
jackie-brown	Crime,Drama,Thriller
la-confidential	Crime,Drama,Mystery
in-the-presence-of-a-clown	Drama
life-during-wartime	Comedy
mimic	Horror,Sci-Fi
prometheus	Drama
the-proposition	Adventure,Drama,Romance
scream-2	Horror,Mystery
three-kings	Action,Adventure,Comedy
starship-troopers	Action,Adventure,Sci-Fi
the-sweet-hereafter	Drama
songs-from-the-second-floor	Comedy,Drama
the-tango-lesson	Drama,Music,Romance
the-truman-show	Comedy,Drama,Sci-Fi
twentyfourseven	Comedy,Drama,Romance
twilight-of-the-ice-nymphs	Fantasy,Mystery,Romance
wonderland	Documentary
american-history-x	Drama
being-john-malkovich	Comedy,Drama,Fantasy
the-13th-warrior	Action,Adventure,History
eyes-wide-shut	Drama,Mystery,Thriller
fear-and-loathing-in-las-vegas	Adventure,Comedy,Drama
frida	Biography,Drama,Romance
in-dreams	Drama,Fantasy,Thriller
the-lord-of-the-rings-the-fellowship-of-the-ring	Adventure,Drama,Fantasy
resident-evil	Action,Horror,Sci-Fi
saving-private-ryan	Drama,War
snow-falling-on-cedars	Drama,Mystery,Romance
titus	Drama,History,Thriller
trance	Action,Comedy,Horror
velvet-goldmine	Drama,Music
existenz	Horror,Sci-Fi,Thriller
big-eyes	Comedy,Drama
memento	Short
the-arrival-of-joachim-stiller	Mystery
everyday	Short
and-the-fifth-horseman-is-fear	Drama,War
confessions	Adult
contagion	Comedy,Horror
cube	Drama,Mystery,Sci-Fi
amour	Drama
he-got-game	Drama,Sport
carriers	Thriller
high-rise	Adult,Comedy
man-on-the-moon	Biography,Comedy,Drama
land-of-plenty	Drama
calvary	Drama,Romance
no	Drama
rushmore	Comedy,Drama
ghost-stories	Drama,Horror,Mystery
run-lola-run	Crime,Drama,Thriller
american-beauty	Adult
the-matrix	Action,Sci-Fi
scream-3	Horror,Mystery
ride-with-the-devil	Drama,Romance,War
ginger-snaps	Adult
a-history-of-violence	Short
limitless	Short
fight-club	Drama
youre-next	Comedy,Crime,Mystery
intolerable-cruelty	Comedy,Crime,Romance
pi	Drama,Horror,Mystery
the-yards	Crime,Drama,Romance
bastards	Drama
filth	Adult
the-insider	Biography,Drama,Thriller
on-the-road	Drama,Short
lone-wolf-and-cub-baby-cart-in-peril	Action,Thriller
lone-wolf-and-cub-baby-cart-in-the-land-of-demons	Action,Crime,Drama
american-psycho	Crime,Drama
bride-of-chucky	Comedy,Horror
girl-on-the-bridge	Comedy,Drama,Romance
volver	Drama
birth	Animation,Comedy,Fantasy
dollhouse	Animation
surveillance	Comedy,Drama
pola-x	Drama,Romance
this-is-england	Documentary,Short
following	Crime,Mystery,Thriller
jigoku	Drama,Horror
gravity	Comedy,Short
the-hangover	Short
i-stand-alone-seul-contre-tous	Crime,Drama,Thriller
sunset-boulevard	Short
belly	Crime,Drama
lady-snowblood	Action,Drama,Thriller
the-virgin-suicides	Drama,Romance
cold-mountain	Adventure,Drama,History
keyhole	Documentary
zodiac	Comedy,Drama
der-bomberpilot	Drama
ghost-world	Comedy,Drama
sleepy-hollow	Fantasy,Horror,Mystery
summer-of-sam	Crime,Drama,Romance
the-road	Documentary
bringing-out-the-dead	Drama,Thriller
hollow-man	Action,Horror,Sci-Fi
ghost-dog-the-way-of-the-samurai	Action,Crime,Drama
the-limey	Crime,Drama,Mystery
the-straight-story	Biography,Drama
hellboy	Action,Adventure,Fantasy
the-lord-of-the-rings-the-return-of-the-king	Adventure,Drama,Fantasy
the-lord-of-the-rings-the-two-towers	Adventure,Drama,Fantasy
dancer-in-the-dark	Crime,Drama,Musical
the-man-from-london	Comedy,Crime
ratcatcher	Drama
boys-dont-cry	Biography,Crime,Drama
magnolia	Drama
requiem-for-a-dream	Drama
man-of-steel	Drama,Family,Fantasy
cheap-thrills	Adult
minority-report	Action,Crime,Mystery
traffic	Crime,Drama,Thriller
almost-famous	Adventure,Comedy,Drama
eloge-de-lamour	Drama
pollock	Biography,Drama
restless	Comedy,Romance
sin-city	Adult
all-about-my-mother	Drama
beast	Comedy
blade-ii	Action,Horror,Sci-Fi
last-days	Crime,Drama
shadow-of-the-vampire	Drama,Horror
children	Drama,Short
crouching-tiger-hidden-dragon	Action,Adventure,Fantasy
death-and-transfiguration	Drama,Short
madonna-and-child	Drama,Short
o-brother-where-art-thou	Adventure,Comedy,Crime
mr-nobody	Crime
julien-donkey-boy	Comedy,Drama
the-dreamers	Comedy,Short
the-end-of-the-tour	Drama
erin-brockovich	Biography,Drama
the-love-witch	Adult,Comedy
the-shape-of-water	Crime,Drama,Mystery
in-the-cut	Mystery,Thriller
a-room-for-romeo-brass	Comedy,Drama
sexy-beast	Crime,Drama,Thriller
trouble-every-day	Drama,Horror,Thriller
children-of-men	Drama,Thriller
the-hours	Short
mud	Comedy,Short
beau-travail	Drama,War
wild	Adult
amelie	Comedy,Romance
2046	Drama,Romance,Sci-Fi
ai-artificial-intelligence	Drama,Sci-Fi
bamboozled	Comedy,Short
code-unknown	Drama
something-in-the-air	Drama
scarlet-diva	Drama
maelstrom	Drama
snow-angels	Short
broken	Drama,Short,Thriller
down-in-the-valley	Musical
black-panther	Documentary,Short
the-matrix-reloaded	Action,Sci-Fi
the-theory-of-everything	Drama
the-pledge	Crime,Drama,Mystery
everybody-wants-some	Adult
the-matrix-revolutions	Action,Sci-Fi
waking-life	Animation,Drama,Fantasy
y-tu-mama-tambien	Drama
all-is-lost	Comedy,Short
donnie-darko	Drama,Sci-Fi,Thriller
the-gleaners-i	Documentary
in-the-bedroom	Crime,Drama
ali	Biography,Drama,Sport
hedwig-and-the-angry-inch	Comedy,Drama,Music
werckmeister-harmonies	Drama,Mystery
the-death-of-stalin	Documentary
choke	Documentary,Sport
cq	Comedy,Drama,Sci-Fi
dog-eat-dog	Comedy,Drama
the-piano-teacher	Drama
road-to-perdition	Crime,Drama,Thriller
about-schmidt	Comedy,Drama
panic-room	Crime,Drama,Thriller
session-9	Horror,Mystery
the-walker	Short
dagon	Fantasy,Horror,Mystery
lemonade	Short
the-mothman-prophecies	Drama,Horror,Mystery
one-hour-photo	Drama,Thriller
the-royal-tenenbaums	Comedy,Drama
kill-bill-vol-1	Action,Crime,Thriller
adaptation	Comedy,Drama
confessions-of-a-dangerous-mind	Biography,Comedy,Crime
black-swan	Comedy,Drama
the-congress	Documentary
punch-drunk-love	Comedy,Drama,Romance
24-hour-party-people	Biography,Comedy,Drama
bad-education	Crime,Drama
dogville	Crime,Drama
spider	Drama,Mystery,Thriller
the-good-girl	Drama,Romance
the-banishment	Drama,Romance
the-savages	Comedy
bubba-ho-tep	Comedy,Fantasy,Horror
love-liza	Comedy,Drama
raw	Adult
nebraska	Drama
signs	Drama,Mystery,Sci-Fi
talk-to-her	Drama,Mystery,Romance
28-days-later	Drama,Horror,Sci-Fi
jarhead	Adult
the-void	Sci-Fi,Thriller
a-wrinkle-in-time	Adventure,Family,Fantasy
irreversible	Crime,Drama,Mystery
dracula-pages-from-a-virgins-diary	Horror,Musical
let-me-in	Short
the-empire-strikes-back	Action,Adventure,Sci-Fi
harry-potter-and-the-chamber-of-secrets	Adventure,Family,Fantasy
vendredi-soir	Drama,Romance
rampart	Action
the-texas-chainsaw-massacre	Action,Horror
far-from-heaven	Drama
auto-focus	Biography,Crime,Drama
all-the-real-girls	Drama,Romance
morvern-callar	Drama
paris-je-taime	Documentary
gerry	Adventure,Drama,Mystery
harry-potter-and-the-prisoner-of-azkaban	Adventure,Family,Fantasy
harry-potter-and-the-philosophers-stone	Action,Adventure,Fantasy
leave-no-trace	Action,Drama,Thriller
time-of-the-wolf	Drama
25th-hour	Drama
sympathy-for-mr-vengeance	Action,Drama,Thriller
spider-man-2	Action,Adventure,Sci-Fi
i-am-love	Romance
blissfully-yours	Drama,Romance
russian-ark	Drama,Fantasy,History
resident-evil-apocalypse	Action,Horror,Sci-Fi
big-fish	Adventure,Drama,Fantasy
japon	Drama
god-bless-america	Short
coraline	Animation,Drama,Fantasy
ondine	Drama,Fantasy,Romance
high-life	Comedy,Short
seabiscuit	Drama,History,Sport
the-brown-bunny	Drama
girl-with-a-pearl-earring	Biography,Drama,Romance
lost-in-translation	Drama
the-passion-of-the-christ	Drama
eternal-sunshine-of-the-spotless-mind	Drama,Romance,Sci-Fi
haute-tension	Horror
the-station-agent	Comedy,Drama
dear-wendy	Comedy,Crime,Drama
paddington	Animation,Family
a-very-long-engagement	Drama,Mystery,Romance
code-46	Drama,Romance,Sci-Fi
uzak	Drama
cowards-bend-the-knee	Drama,Romance
closer	Documentary,Short
the-science-of-sleep	Comedy,Drama,Fantasy
i-heart-huckabees	Comedy
the-imitation-game	Comedy,Drama
walk-the-line	Biography,Drama,Music
wildlife	Short
notre-musique	Drama
inglourious-basterds	Adventure,Drama,War
the-machinist	Drama,Thriller
the-life-aquatic-with-steve-zissou	Action,Adventure,Comedy
the-grey	Drama
oldboy	Action,Drama,Mystery
the-assassination-of-richard-nixon	Biography,Crime,Drama
a-tale-of-two-sisters	Drama,Horror,Thriller
syriana	Drama,Thriller
shaun-of-the-dead	Comedy,Horror
somewhere	Romance
brick-lane	Comedy,Drama,Short
the-saddest-music-in-the-world	Comedy,Musical
the-squid-and-the-whale	Comedy,Drama
charlie-and-the-chocolate-factory	Adventure,Comedy,Family
room	Drama,Short
the-heart-is-deceitful-above-all-things	Drama
im-not-there	Biography,Drama,Music
collateral	Crime,Drama,Thriller
frank	Action,Short
before-sunset	Drama,Thriller
mysterious-skin	Drama
patagonia	Fantasy,Romance,Short
stay	Drama,Mystery,Thriller
batman-begins	Action,Adventure
napoleon-dynamite	Comedy
a-serious-man	Comedy,Drama,Short
sideways	Comedy,Drama,Romance
layer-cake	Action,Crime,Drama
mean-creek	Crime,Drama
kill-bill-vol-2	Action,Crime,Thriller
capote	Biography,Crime,Drama
moon	Short
carol	Fantasy,Short
tropical-malady	Drama,Fantasy,Romance
synecdoche-new-york	Comedy,Drama
unbroken	Drama,Short
house-of-flying-daggers	Action,Adventure,Drama
where-the-wild-things-are	Adventure,Drama,Family
battle-in-heaven	Crime,Drama
isolation	Drama,Short
seed-of-chucky	Comedy,Fantasy,Horror
the-black-dahlia	Crime,Drama,Mystery
brokeback-mountain	Drama,Romance
urge	Comedy,Short
black-book	Drama,Thriller,War
30-days-of-night	Action,Horror,Thriller
brick	Action,Crime,Drama
the-devils-rejects	Horror
get-out	Documentary
the-diving-bell-and-the-butterfly	Biography,Drama
the-new-world	Biography,Drama,History
everything-is-illuminated	Comedy,Drama
little-children	Drama,Romance
the-lives-of-others	Drama,Mystery,Thriller
a-scanner-darkly	Animation,Crime,Drama
the-departed	Crime,Drama,Thriller
munich	Biography,Crime,Drama
watchmen	Action,Drama,Mystery
tideland	Drama,Fantasy,Horror
breakfast-on-pluto	Comedy,Drama
hellboy-ii-the-golden-army	Action,Adventure,Fantasy
9-songs	Drama,Music,Romance
broken-flowers	Comedy,Drama,Mystery
changeling	Drama
the-taste-of-tea	Comedy,Fantasy
me-and-you-and-everyone-we-know	Comedy,Drama
kamikaze-girls	Comedy
junebug	Comedy,Drama
the-three-burials-of-melquiades-estrada	Adventure,Crime,Drama
a-prairie-home-companion	Comedy,Drama,Music
the-curious-case-of-benjamin-button	Drama,Fantasy,Romance
fur-an-imaginary-portrait-of-diane-arbus	Biography,Drama,Romance
rampo-noir	Fantasy,Horror
hot-fuzz	Action,Comedy,Mystery
resident-evil-extinction	Action,Horror,Sci-Fi
fantastic-mr-fox	Adventure,Animation,Comedy
good-night-and-good-luck	Biography,Drama,History
v-for-vendetta	Action,Drama,Sci-Fi
the-descent	Adventure,Horror,Thriller
brand-upon-the-brain	Comedy,Drama,Fantasy
the-assassination-of-jesse-james-by-the-coward-robert-ford	Biography,Crime,Drama
across-the-universe	Drama,Fantasy,History
scott-pilgrim-vs-the-world	Action,Comedy,Fantasy
ida	Short
dominion-prequel-to-the-exorcist	Drama,Horror,Thriller
punisher-war-zone	Action,Crime,Drama
the-reader	Drama,Short
lady-vengeance	Crime,Drama,Thriller
the-good-german	Drama,Mystery,Romance
bubble	Crime,Drama,Mystery
pans-labyrinth	Drama,Fantasy,War
nacho-libre	Comedy,Family,Sport
captain-america-the-first-avenger	Action,Adventure,Sci-Fi
sin-city-a-dame-to-kill-for	Action,Crime,Thriller
kill-your-darlings	Short
the-wind-that-shakes-the-barley	Drama,War
rescue-dawn	Action,Biography,Drama
the-orphanage	Drama,Horror,Mystery
michael-clayton	Crime,Drama,Mystery
old-joy	Drama
the-dark-knight	Action,Crime,Drama
there-will-be-blood	Drama
ex-machina	Drama,Mystery,Sci-Fi
red-road	Drama,Mystery,Thriller
angel-a	Comedy,Drama,Fantasy
mister-lonely	Comedy,Drama
no-country-for-old-men	Crime,Drama,Thriller
syndromes-and-a-century	Drama
ant-man	Action,Adventure,Comedy
adam-resurrected	Drama,War
timecrimes	Horror,Mystery,Sci-Fi
the-prestige	Drama,Mystery,Sci-Fi
wind-chill	Drama,Horror,Thriller
green-room	Short
away-from-her	Drama
boarding-gate	Drama,Thriller
eagle-vs-shark	Comedy,Romance
oceans-thirteen	Crime,Thriller
lost-river	Adventure,Western
the-fourth-man	Crime,Drama,Mystery
damsel	Fantasy,Horror,Mystery
selfless	Action,Drama,Fantasy
brooklyn	Comedy,Crime,Drama
lady-bird	Comedy
thor	Comedy
howl	Drama
our-day-will-come	Drama,Romance
nerve	Adventure,Drama,Sci-Fi
upgrade	Adventure,Fantasy,Horror
the-purge	Adventure,Drama,Mystery
the-sacrament	Drama
while-were-young	Comedy,Drama,Music
beginners	Comedy,Drama
the-innkeepers	Comedy
the-little-hours	Comedy,Drama
i-think-were-alone-now	Comedy
year-of-the-dog	Action,Adventure,Crime
a-quiet-place	Action,Crime,Drama
clan-of-the-cave-bear	Comedy
ballast	Drama
the-look-of-love	Comedy
a-ghost-story	Action,Adventure,Crime
8-12	Comedy
the-martian	Drama,Fantasy,Horror
stoker	Adventure,Fantasy,Sci-Fi
transcendence	Action,Drama,Fantasy
margot-at-the-wedding	Comedy,Drama
interstellar	Drama,Sci-Fi,Short
death-note	Crime,Drama,Fantasy
into-the-wild	Adventure,Biography,Drama
nightcrawler	Action,Animation,Family
my-blueberry-nights	Drama,Romance
american-gangster	Biography,Crime,Drama
eastern-promises	Action,Crime,Drama
another-year	Drama
smiley-face	Comedy
genova	Drama,Mystery,Romance
sakuran	Drama,History
be-kind-rewind	Comedy
its-kind-of-a-funny-story	Comedy,Drama,Romance
lars-and-the-real-girl	Comedy,Drama,Romance
the-midnight-meat-train	Horror,Mystery
bright-star	Biography,Drama,Romance
the-danish-girl	Biography,Drama,Romance
kick-ass	Documentary
honeydripper	Crime,Drama,History
visioneers	Comedy,Drama,Sci-Fi
the-darjeeling-limited	Adventure,Comedy,Drama
silent-light	Drama,Romance
the-brothers-bloom	Action,Adventure,Comedy
valhalla-rising	Adventure,Drama,Fantasy
trick-r-treat	Comedy,Horror
the-editor	Comedy,Family
burn-after-reading	Comedy,Crime,Drama
la-la-land	Comedy,Short
love-mercy	Biography,Drama,Music
doctor-strange	Action,Animation,Fantasy
pineapple-express	Action,Comedy,Crime
broken-embraces	Drama,Romance,Thriller
assassins-creed	Action,Adventure,Crime
source-code	Action,Drama,Mystery
repo-the-genetic-opera	Musical,Short
hermitage	Drama,Romance,Short
shotgun-stories	Drama,Thriller
revolutionary-road	Drama,Romance
everlasting-moments	Drama,History
tetro	Drama
the-favourite	Comedy
hell-or-high-water	Action,Crime,Drama
the-east	Documentary,Short
solo-a-star-wars-story	Comedy,Talk-Show
spider-man-into-the-spider-verse	Comedy
captain-america-civil-war	Documentary
slumdog-millionaire	Drama,Romance
her	Music
dredd	Adult
super-8	Sci-Fi,Short
spider-man-homecoming	Documentary
shoplifters	Documentary
halloween-2	Horror,Short
mad-max-fury-road	Comedy
mulholland-drive	Drama,Short
logan	Comedy
a-girl-walks-home-alone-at-night	Comedy,Fantasy,Horror
splice	Drama,Horror,Sci-Fi
gone-girl	Drama,Fantasy,Horror
500-days-of-summer	Comedy,Drama,Romance
the-scouting-book-for-boys	Drama,Thriller
avengers-infinity-war	Talk-Show
house-by-the-cemetery	Horror
pontypool	Comedy,Horror,Talk-Show
i-trapped-the-devil	Comedy,Talk-Show
death-proof	Thriller
vinyan	Drama,Horror,Thriller
john-wick	Talk-Show
the-descendants	Comedy,Drama
entertainment	Talk-Show
your-highness	Action,Comedy,Fantasy
silver-linings-playbook	Comedy,Drama,Romance
alien-3	Comedy
the-imaginarium-of-doctor-parnassus	Adventure,Comedy,Fantasy
guardians-of-the-galaxy	Documentary
let-the-sunshine-in	Adventure,Drama,Short
adult-world	Comedy,Drama
the-burning-plain	Crime,Drama,Romance
land-ho	Animation,Comedy,Drama
the-neon-demon	Comedy,Horror,Talk-Show
skyfall	Action,Adventure,Thriller
star-wars-the-force-awakens	Comedy
127-hours	Comedy
the-hunger-games	Comedy
evil-dead	Documentary
adventureland	Comedy,Drama,Romance
my-winnipeg	Comedy,Documentary,Drama
halloween-2018	Comedy
bad-lieutenant-port-of-call-new-orleans	Crime,Drama
avengers-age-of-ultron	Comedy,Talk-Show
deadpool	Comedy,Talk-Show
batman-v-superman-dawn-of-justice	Comedy,Talk-Show
star-trek-beyond	Comedy,Talk-Show
kong-skull-island	Comedy,Talk-Show
guardians-of-the-galaxy-vol-2	Comedy,Talk-Show
35-shots-of-rum	Drama
foxcatcher	Biography,Drama,Sport
star-wars-the-last-jedi	Comedy
christopher-robin	Comedy
the-girlfriend-experience	Drama
looper	Talk-Show
blindspotting	Drama
american-hustle	Crime,Drama
blue-valentine	Drama,Romance
it-follows	Horror
free-state-of-jones	Action,Biography,Drama
drag-me-to-hell	Horror,Thriller
cold-souls	Comedy,Drama
the-beaches-of-agnes	Biography,Documentary
shutter-island	Mystery,Thriller
jennifers-body	Comedy,Horror
the-girl-with-the-dragon-tattoo	Crime,Drama,Mystery
alleluia	Action,Comedy,Crime
the-limits-of-control	Crime,Drama,Mystery
white-material	Drama,War
district-9	Action,Sci-Fi,Thriller
let-the-right-one-in	Drama,Horror,Romance
the-white-ribbon	Drama,History,Mystery
wendy-and-lucy	Drama
gentlemen-broncos	Adventure,Comedy,Sci-Fi
biutiful	Drama,Romance
somers-town	Comedy,Drama
bronson	Action,Biography,Crime
the-extraordinary-adventures-of-adele-blanc-sec	Action,Adventure,Fantasy
10-cloverfield-lane	Drama,Horror,Mystery
antoine-and-colette	Comedy,Drama,Romance
the-skin-i-live-in	Drama,Horror,Thriller
enter-the-void	Drama,Fantasy
observe-and-report	Comedy,Crime,Drama
gran-torino	Drama
out-of-the-furnace	Action,Crime,Drama
moneyball	Biography,Drama,Sport
the-lost-city-of-z	Biography,Drama,History
the-worlds-end	Action,Comedy,Sci-Fi
womb	Drama,Romance,Sci-Fi
